Dataset,ContaminationRate,Repetition,RecordID,OriginalResponse,AddedNoise,ContaminatedResponse
Boston Housing,0.05,3,300,29,29.27903752,58.27903752
Boston Housing,0.05,3,303,26.4,-2.790502159,23.60949784
Boston Housing,0.05,3,423,20.8,-121.0567672,-100.2567672
Boston Housing,0.05,3,426,8.3,-65.59228524,-57.29228524
Boston Housing,0.05,3,437,9.6,30.81746965,40.41746965
Boston Housing,0.05,3,448,12.6,-86.4813961,-73.8813961
Boston Housing,0.05,3,481,23,1.096888035,24.09688803
Boston Housing,0.05,3,494,21.8,-34.98838653,-13.18838653
Boston Housing,0.05,3,505,22,34.47885487,56.47885487
Boston Housing,0.05,4,5,36.2,-123.8060669,-87.60606692
Boston Housing,0.05,4,8,27.1,116.4805546,143.5805546
Boston Housing,0.05,4,22,19.6,-34.2155891,-14.6155891
Boston Housing,0.05,4,86,26.6,-55.39534085,-28.79534085
Boston Housing,0.05,4,101,27.5,62.94184553,90.44184553
Boston Housing,0.05,4,173,23.1,-22.00644153,1.093558469
Boston Housing,0.05,4,209,24.4,17.60836985,42.00836985
Boston Housing,0.05,4,223,27.5,10.20739357,37.70739357
Boston Housing,0.05,4,231,24.3,-54.72190611,-30.42190611
Boston Housing,0.05,4,247,24.3,-29.24813702,-4.948137022
Boston Housing,0.05,4,253,29.6,-1.668609601,27.9313904
Boston Housing,0.05,4,277,33.2,43.25110084,76.45110084
Boston Housing,0.05,4,280,35.1,25.94650328,61.04650328
Boston Housing,0.05,4,317,17.8,108.2179583,126.0179583
Boston Housing,0.05,4,335,20.7,38.40432019,59.10432019
Boston Housing,0.05,4,410,27.5,-16.54916657,10.95083343
Boston Housing,0.05,4,432,14.1,-0.5103075649,13.58969244
Boston Housing,0.05,4,498,18.3,-25.65853044,-7.358530441
Boston Housing,0.05,5,5,36.2,-41.96712123,-5.76712123
Boston Housing,0.05,5,89,23.6,-28.21914967,-4.619149667
Boston Housing,0.05,5,92,22,-241.1065758,-219.1065758
Boston Housing,0.05,5,114,18.7,-28.74558662,-10.04558662
Boston Housing,0.05,5,131,19.2,-46.95712565,-27.75712565
Boston Housing,0.05,5,177,23.2,-48.07426635,-24.87426635
Boston Housing,0.05,5,286,22,-0.7512969873,21.24870301
Boston Housing,0.05,5,297,27.1,-50.289186,-23.189186
Boston Housing,0.05,5,304,33.1,-26.88166685,6.218333149
Boston Housing,0.05,5,335,20.7,-53.05284935,-32.35284935
Boston Housing,0.05,5,342,32.7,-26.12138591,6.57861409
Boston Housing,0.05,5,391,15.1,-73.26099288,-58.16099288
Boston Housing,0.05,5,397,12.5,37.20716444,49.70716444
Boston Housing,0.05,5,427,10.2,89.25947533,99.45947533
Boston Housing,0.05,5,444,15.4,-150.2606958,-134.8606958
Boston Housing,0.05,5,457,12.7,-18.30877836,-5.60877836
Boston Housing,0.05,5,465,21.4,-46.34432514,-24.94432514
Boston Housing,0.05,5,481,23,-45.53948019,-22.53948019
Boston Housing,0.05,6,4,33.4,10.19222851,43.59222851
Boston Housing,0.05,6,106,19.5,15.127465,34.627465
Boston Housing,0.05,6,138,17.1,0.7487563018,17.8487563
Boston Housing,0.05,6,139,13.3,-4.02002587,9.27997413
Boston Housing,0.05,6,212,19.3,11.48981038,30.78981038
Boston Housing,0.05,6,217,23.3,-11.52611869,11.77388131
Boston Housing,0.05,6,252,24.8,-22.61400098,2.185999022
Boston Housing,0.05,6,276,32,40.80296694,72.80296694
Boston Housing,0.05,6,278,33.1,1.538404865,34.63840487
Boston Housing,0.05,6,300,29,88.37340239,117.3734024
Boston Housing,0.05,6,303,26.4,94.1946562,120.5946562
Boston Housing,0.05,6,313,19.4,-43.19708157,-23.79708157
Boston Housing,0.05,6,315,23.8,-30.50467397,-6.704673974
Boston Housing,0.05,6,328,22.2,47.72770159,69.92770159
Boston Housing,0.05,6,360,22.6,-102.1291884,-79.52918841
Boston Housing,0.05,6,397,12.5,-13.06801252,-0.5680125176
Boston Housing,0.05,6,463,19.5,-22.36182825,-2.86182825
Boston Housing,0.05,6,470,20.1,63.87363183,83.97363183
Boston Housing,0.05,7,3,34.7,-33.97435465,0.7256453514
Boston Housing,0.05,7,8,27.1,52.6049436,79.7049436
Boston Housing,0.05,7,37,20,-68.05095062,-48.05095062
Boston Housing,0.05,7,63,22.2,-57.38169891,-35.18169891
Boston Housing,0.05,7,70,20.9,6.475645881,27.37564588
Boston Housing,0.05,7,79,21.2,57.20303058,78.40303058
Boston Housing,0.05,7,102,26.5,42.63477812,69.13477812
Boston Housing,0.05,7,190,34.9,36.02724957,70.92724957
Boston Housing,0.05,7,280,35.1,-116.1454418,-81.04544185
Boston Housing,0.05,7,282,35.4,61.10759421,96.50759421
Boston Housing,0.05,7,295,21.7,52.85355687,74.55355687
Boston Housing,0.05,7,340,19,-42.48322692,-23.48322692
Boston Housing,0.05,7,383,11.3,-78.6728832,-67.3728832
Boston Housing,0.05,7,395,12.7,93.84497862,106.5449786
Boston Housing,0.05,7,397,12.5,-71.17367497,-58.67367497
Boston Housing,0.05,7,430,9.5,-5.715580023,3.784419977
Boston Housing,0.05,7,438,8.7,0.4245743575,9.124574357
Boston Housing,0.05,7,496,23.1,-45.99796938,-22.89796938
Boston Housing,0.05,8,1,24,-94.09728536,-70.09728536
Boston Housing,0.05,8,28,14.8,-109.1378668,-94.33786685
Boston Housing,0.05,8,31,12.7,-67.31464225,-54.61464225
Boston Housing,0.05,8,72,21.7,-97.77510943,-76.07510943
Boston Housing,0.05,8,75,24.1,96.71799637,120.8179964
Boston Housing,0.05,8,102,26.5,65.26685705,91.76685705
Boston Housing,0.05,8,108,20.4,-11.20444686,9.195553137
Boston Housing,0.05,8,133,23,46.08159436,69.08159436
Boston Housing,0.05,8,189,29.8,19.71822823,49.51822823
Boston Housing,0.05,8,209,24.4,-1.386965791,23.01303421
Boston Housing,0.05,8,221,26.7,-25.66206907,1.037930926
Boston Housing,0.05,8,314,21.6,46.67163437,68.27163437
Boston Housing,0.05,8,322,23.1,-43.82955254,-20.72955254
Boston Housing,0.05,8,380,10.2,-0.07943138506,10.12056861
Boston Housing,0.05,8,410,27.5,34.21079947,61.71079947
Boston Housing,0.05,8,433,16.1,-54.10451194,-38.00451194
Boston Housing,0.05,8,437,9.6,223.6721038,233.2721038
Boston Housing,0.05,8,499,21.2,46.66036396,67.86036396
Boston Housing,0.05,9,37,20,69.8505676,89.8505676
Boston Housing,0.05,9,47,20,-147.6652654,-127.6652654
Boston Housing,0.05,9,61,18.7,27.24985555,45.94985555
Boston Housing,0.05,9,107,19.5,12.5432251,32.0432251
Boston Housing,0.05,9,131,19.2,109.1309026,128.3309026
Boston Housing,0.05,9,174,23.6,5.628859541,29.22885954
Boston Housing,0.05,9,222,21.7,101.0795642,122.7795642
Boston Housing,0.05,9,249,24.5,34.81530061,59.31530061
Boston Housing,0.05,9,280,35.1,-12.79074365,22.30925635
Boston Housing,0.05,9,309,22.8,74.67141449,97.47141449
Boston Housing,0.05,9,332,17.1,69.84863094,86.94863094
Boston Housing,0.05,9,339,20.6,-109.6159779,-89.01597792
Boston Housing,0.05,9,342,32.7,-52.3819027,-19.6819027
Boston Housing,0.05,9,393,9.7,68.3765046,78.0765046
Boston Housing,0.05,9,402,7.2,-53.27849735,-46.07849735
Boston Housing,0.05,9,459,14.9,47.91753084,62.81753084
Boston Housing,0.05,9,467,19,12.61572439,31.61572439
Boston Housing,0.05,9,485,20.6,57.09042055,77.69042055
Boston Housing,0.05,10,32,14.5,-9.336385117,5.163614883
Boston Housing,0.05,10,45,21.2,23.44334528,44.64334528
Boston Housing,0.05,10,50,19.4,79.98400842,99.38400842
Boston Housing,0.05,10,130,14.3,113.856737,128.156737
Boston Housing,0.05,10,175,22.6,-54.91582518,-32.31582518
Boston Housing,0.05,10,216,25,-9.537259976,15.46274002
Boston Housing,0.05,10,218,28.7,15.93857575,44.63857575
Boston Housing,0.05,10,237,25.1,-69.21580252,-44.11580252
Boston Housing,0.05,10,247,24.3,-159.9756149,-135.6756149
Boston Housing,0.05,10,283,46,49.55708195,95.55708195
Boston Housing,0.05,10,299,22.5,18.44277938,40.94277938
Boston Housing,0.05,10,315,23.8,87.14517944,110.9451794
Boston Housing,0.05,10,324,18.5,-43.12887427,-24.62887427
Boston Housing,0.05,10,339,20.6,-26.30009757,-5.700097571
Boston Housing,0.05,10,361,25,-22.75891034,2.241089656
Boston Housing,0.05,10,402,7.2,114.9032495,122.1032495
Boston Housing,0.05,10,431,14.5,22.9387264,37.4387264
Boston Housing,0.05,10,505,22,15.8765408,37.8765408
Boston Housing,0.05,11,6,28.7,-32.42555231,-3.725552312
Boston Housing,0.05,11,70,20.9,-95.22696905,-74.32696905
Boston Housing,0.05,11,74,23.4,-156.9800943,-133.5800943
Boston Housing,0.05,11,76,21.4,13.30870278,34.70870278
Boston Housing,0.05,11,87,22.5,-33.86325231,-11.36325231
Boston Housing,0.05,11,98,38.7,-136.9792082,-98.27920816
Boston Housing,0.05,11,131,19.2,-121.1714074,-101.9714074
Boston Housing,0.05,11,133,23,-74.50898836,-51.50898836
Boston Housing,0.05,11,137,17.4,46.31234647,63.71234647
Boston Housing,0.05,11,193,36.4,12.45407031,48.85407031
Boston Housing,0.05,11,231,24.3,70.91861346,95.21861346
Boston Housing,0.05,11,238,31.5,100.9014426,132.4014426
Boston Housing,0.05,11,337,19.5,88.024343,107.524343
Boston Housing,0.05,11,358,21.7,98.06432064,119.7643206
Boston Housing,0.05,11,446,11.8,2.850649374,14.65064937
Boston Housing,0.05,11,455,14.9,-30.14588712,-15.24588712
Boston Housing,0.05,11,471,19.9,13.60910748,33.50910748
Boston Housing,0.05,11,487,19.1,122.7895891,141.8895891
Boston Housing,0.05,12,13,21.7,-7.441523736,14.25847626
Boston Housing,0.05,12,30,21,-9.305317856,11.69468214
Boston Housing,0.05,12,60,19.6,-0.5947183478,19.00528165
Boston Housing,0.05,12,92,22,-82.56847765,-60.56847765
Boston Housing,0.05,12,97,21.4,83.62229722,105.0222972
Boston Housing,0.05,12,111,21.7,-128.7815385,-107.0815385
Boston Housing,0.05,12,118,19.2,192.4240239,211.6240239
Boston Housing,0.05,12,138,17.1,-49.46282109,-32.36282109
Boston Housing,0.05,12,174,23.6,46.88682134,70.48682134
Boston Housing,0.05,12,237,25.1,91.95653327,117.0565333
Boston Housing,0.05,12,252,24.8,-4.135047433,20.66495257
Boston Housing,0.05,12,288,23.2,-23.03150655,0.1684934465
Boston Housing,0.05,12,313,19.4,-137.8714513,-118.4714513
Boston Housing,0.05,12,333,19.4,100.6200332,120.0200332
Boston Housing,0.05,12,392,23.2,26.10792706,49.30792706
Boston Housing,0.05,12,437,9.6,26.32025032,35.92025032
Boston Housing,0.05,12,458,13.5,121.0459318,134.5459318
Boston Housing,0.05,12,468,19.1,-45.8384057,-26.7384057
Boston Housing,0.05,13,13,21.7,32.87530012,54.57530012
Boston Housing,0.05,13,22,19.6,-115.7448596,-96.14485957
Boston Housing,0.05,13,65,33,84.24337211,117.2433721
Boston Housing,0.05,13,101,27.5,71.42963828,98.92963828
Boston Housing,0.05,13,132,19.6,47.7341383,67.3341383
Boston Housing,0.05,13,191,37,-35.35667935,1.643320655
Boston Housing,0.05,13,208,22.5,-153.6566972,-131.1566972
Boston Housing,0.05,13,216,25,120.9135536,145.9135536
Boston Housing,0.05,13,237,25.1,9.833038223,34.93303822
Boston Housing,0.05,13,245,17.6,-68.19772321,-50.59772321
Boston Housing,0.05,13,311,16.1,10.60305362,26.70305362
Boston Housing,0.05,13,312,22.1,53.15434794,75.25434794
Boston Housing,0.05,13,317,17.8,-29.66624778,-11.86624778
Boston Housing,0.05,13,374,13.8,-135.9694789,-122.1694789
Boston Housing,0.05,13,380,10.2,4.466915259,14.66691526
Boston Housing,0.05,13,398,8.5,-33.78546279,-25.28546279
Boston Housing,0.05,13,420,8.4,-66.13534493,-57.73534493
Boston Housing,0.05,13,501,16.8,-78.75845671,-61.95845671
Boston Housing,0.05,14,18,17.5,88.52792923,106.0279292
Boston Housing,0.05,14,24,14.5,5.168402387,19.66840239
Boston Housing,0.05,14,59,23.3,51.45092924,74.75092924
Boston Housing,0.05,14,139,13.3,36.04101481,49.34101481
Boston Housing,0.05,14,140,17.8,-73.77664138,-55.97664138
Boston Housing,0.05,14,178,24.6,88.24647381,112.8464738
Boston Housing,0.05,14,186,29.6,-31.45104019,-1.851040188
Boston Housing,0.05,14,297,27.1,-41.87331752,-14.77331752
Boston Housing,0.05,14,322,23.1,134.5196942,157.6196942
Boston Housing,0.05,14,328,22.2,4.588227839,26.78822784
Boston Housing,0.05,14,359,22.7,-46.07708052,-23.37708052
Boston Housing,0.05,14,360,22.6,-20.86904596,1.730954041
Boston Housing,0.05,14,392,23.2,-49.56166816,-26.36166816
Boston Housing,0.05,14,402,7.2,37.73911064,44.93911064
Boston Housing,0.05,14,425,11.7,-110.8611967,-99.16119672
Boston Housing,0.05,14,436,13.4,-46.53352957,-33.13352957
Boston Housing,0.05,14,458,13.5,-55.09502294,-41.59502294
Boston Housing,0.05,14,469,19.1,34.90096215,54.00096215
Boston Housing,0.05,15,20,18.2,-75.73603837,-57.53603837
Boston Housing,0.05,15,32,14.5,-86.29315737,-71.79315737
Boston Housing,0.05,15,42,26.6,-40.61800804,-14.01800804
Boston Housing,0.05,15,45,21.2,8.234778268,29.43477827
Boston Housing,0.05,15,53,25,104.0643496,129.0643496
Boston Housing,0.05,15,54,23.4,14.9383648,38.3383648
Boston Housing,0.05,15,65,33,-98.95370074,-65.95370074
Boston Housing,0.05,15,74,23.4,-14.93577815,8.464221848
Boston Housing,0.05,15,96,28.4,-27.46858916,0.9314108353
Boston Housing,0.05,15,103,18.6,11.86848314,30.46848314
Boston Housing,0.05,15,232,31.7,-25.39985877,6.300141229
Boston Housing,0.05,15,272,25.2,44.70895727,69.90895727
Boston Housing,0.05,15,309,22.8,84.32565197,107.125652
Boston Housing,0.05,15,312,22.1,-150.3139922,-128.2139922
Boston Housing,0.05,15,322,23.1,98.67322114,121.7732211
Boston Housing,0.05,15,340,19,76.51237325,95.51237325
Boston Housing,0.05,15,498,18.3,33.06185112,51.36185112
Boston Housing,0.05,15,502,22.4,-90.18546258,-67.78546258
Boston Housing,0.05,16,3,34.7,-61.6526414,-26.9526414
Boston Housing,0.05,16,31,12.7,-54.35578396,-41.65578396
Boston Housing,0.05,16,52,20.5,-47.36336976,-26.86336976
Boston Housing,0.05,16,74,23.4,36.80684467,60.20684467
Boston Housing,0.05,16,130,14.3,90.47195629,104.7719563
Boston Housing,0.05,16,194,31.1,-7.907698303,23.1923017
Boston Housing,0.05,16,219,21.5,-148.5296059,-127.0296059
Boston Housing,0.05,16,242,20.1,64.25558124,84.35558124
Boston Housing,0.05,16,253,29.6,53.56839047,83.16839047
Boston Housing,0.05,16,360,22.6,92.4080176,115.0080176
Boston Housing,0.05,16,361,25,56.723634,81.723634
Boston Housing,0.05,16,378,13.3,24.51046595,37.81046595
Boston Housing,0.05,16,390,11.5,68.07088605,79.57088605
Boston Housing,0.05,16,420,8.4,122.2425794,130.6425794
Boston Housing,0.05,16,433,16.1,-0.2390831895,15.86091681
Boston Housing,0.05,16,434,14.3,-9.417222527,4.882777473
Boston Housing,0.05,16,467,19,-35.94487668,-16.94487668
Boston Housing,0.05,16,500,17.5,57.01402122,74.51402122
Boston Housing,0.05,17,29,18.4,17.99620478,36.39620478
Boston Housing,0.05,17,69,17.4,-122.6824272,-105.2824272
Boston Housing,0.05,17,76,21.4,-106.5575271,-85.1575271
Boston Housing,0.05,17,85,23.9,-18.54394764,5.356052359
Boston Housing,0.05,17,193,36.4,-25.4741317,10.9258683
Boston Housing,0.05,17,271,21.1,116.9768379,138.0768379
Boston Housing,0.05,17,277,33.2,-63.04329944,-29.84329944
Boston Housing,0.05,17,286,22,-25.87923717,-3.879237168
Boston Housing,0.05,17,323,20.4,-16.89624128,3.503758719
Boston Housing,0.05,17,325,25,-28.39678377,-3.396783774
Boston Housing,0.05,17,378,13.3,88.59955149,101.8995515
Boston Housing,0.05,17,403,12.1,-15.89000966,-3.790009664
Boston Housing,0.05,17,412,17.2,-63.34064451,-46.14064451
Boston Housing,0.05,17,422,14.2,68.61019559,82.81019559
Boston Housing,0.05,17,438,8.7,-50.44755845,-41.74755845
Boston Housing,0.05,17,470,20.1,47.68779655,67.78779655
Boston Housing,0.05,17,486,21.2,-71.83689865,-50.63689865
Boston Housing,0.05,17,494,21.8,-46.54321672,-24.74321672
Boston Housing,0.05,18,21,13.6,-19.20995774,-5.609957739
Boston Housing,0.05,18,81,28,-2.34949872,25.65050128
Boston Housing,0.05,18,88,22.2,105.1507089,127.3507089
Boston Housing,0.05,18,194,31.1,139.6665642,170.7665642
Boston Housing,0.05,18,219,21.5,6.419174003,27.919174
Boston Housing,0.05,18,278,33.1,-3.225407558,29.87459244
Boston Housing,0.05,18,290,24.8,-60.53863994,-35.73863994
Boston Housing,0.05,18,302,22,90.21160261,112.2116026
Boston Housing,0.05,18,303,26.4,-120.0611304,-93.66113037
Boston Housing,0.05,18,312,22.1,-25.42988909,-3.32988909
Boston Housing,0.05,18,318,19.8,1.133423596,20.9334236
Boston Housing,0.05,18,339,20.6,39.20337559,59.80337559
Boston Housing,0.05,18,361,25,-30.86697902,-5.866979017
Boston Housing,0.05,18,397,12.5,65.22536111,77.72536111
Boston Housing,0.05,18,422,14.2,17.24933711,31.44933711
Boston Housing,0.05,18,438,8.7,-53.18309423,-44.48309423
Boston Housing,0.05,18,462,17.7,-42.92506994,-25.22506994
Boston Housing,0.05,18,506,11.9,-76.38088142,-64.48088142
Boston Housing,0.05,19,17,23.1,1.453294945,24.55329494
Boston Housing,0.05,19,18,17.5,86.97281212,104.4728121
Boston Housing,0.05,19,86,26.6,-154.5053639,-127.9053639
Boston Housing,0.05,19,102,26.5,44.47660213,70.97660213
Boston Housing,0.05,19,173,23.1,-35.64340561,-12.54340561
Boston Housing,0.05,19,182,36.2,-52.31769483,-16.11769483
Boston Housing,0.05,19,185,26.4,-53.85168538,-27.45168538
Boston Housing,0.05,19,206,22.6,45.78697017,68.38697017
Boston Housing,0.05,19,208,22.5,49.93372757,72.43372757
Boston Housing,0.05,19,221,26.7,-26.71176602,-0.01176601968
Boston Housing,0.05,19,223,27.5,39.35480622,66.85480622
Boston Housing,0.05,19,235,29,-21.6115559,7.388444098
Boston Housing,0.05,19,286,22,112.5647925,134.5647925
Boston Housing,0.05,19,296,28.6,-232.1032163,-203.5032163
Boston Housing,0.05,19,325,25,-104.0671566,-79.06715656
Boston Housing,0.05,19,429,11,-77.83520979,-66.83520979
Boston Housing,0.05,19,447,14.9,164.8288731,179.7288731
Boston Housing,0.05,19,461,16.4,26.06049233,42.46049233
Boston Housing,0.05,20,16,19.9,50.30584026,70.20584026
Boston Housing,0.05,20,27,16.6,-45.12787021,-28.52787021
Boston Housing,0.05,20,83,24.8,7.581922366,32.38192237
Boston Housing,0.05,20,89,23.6,-20.72507445,2.874925554
Boston Housing,0.05,20,108,20.4,-16.42078046,3.979219537
Boston Housing,0.05,20,131,19.2,-7.082048607,12.11795139
Boston Housing,0.05,20,136,18.1,-122.5099776,-104.4099776
Boston Housing,0.05,20,174,23.6,-35.17967997,-11.57967997
Boston Housing,0.05,20,249,24.5,-56.10300534,-31.60300534
Boston Housing,0.05,20,315,23.8,-21.48590868,2.314091316
Boston Housing,0.05,20,321,23.8,-34.87748912,-11.07748912
Boston Housing,0.05,20,345,31.2,-29.24076867,1.959231329
Boston Housing,0.05,20,397,12.5,53.05416584,65.55416584
Boston Housing,0.05,20,412,17.2,0.588769056,17.78876906
Boston Housing,0.05,20,447,14.9,-39.16875925,-24.26875925
Boston Housing,0.05,20,450,13,37.08346298,50.08346298
Boston Housing,0.05,20,477,16.7,61.41018511,78.11018511
Boston Housing,0.05,20,487,19.1,-40.19424658,-21.09424658
Boston Housing,0.05,21,19,20.2,87.89022069,108.0902207
Boston Housing,0.05,21,33,13.2,74.3472948,87.5472948
Boston Housing,0.05,21,42,26.6,-110.8098898,-84.20988977
Boston Housing,0.05,21,120,19.3,145.2938929,164.5938929
Boston Housing,0.05,21,194,31.1,-182.6057786,-151.5057786
Boston Housing,0.05,21,195,29.1,116.1501815,145.2501815
Boston Housing,0.05,21,253,29.6,88.69236274,118.2923627
Boston Housing,0.05,21,280,35.1,66.14825777,101.2482578
Boston Housing,0.05,21,300,29,15.89323693,44.89323693
Boston Housing,0.05,21,320,21,-107.490625,-86.49062496
Boston Housing,0.05,21,335,20.7,84.57140243,105.2714024
Boston Housing,0.05,21,338,18.5,4.618300191,23.11830019
Boston Housing,0.05,21,339,20.6,-33.96409644,-13.36409644
Boston Housing,0.05,21,429,11,62.91386878,73.91386878
Boston Housing,0.05,21,430,9.5,52.39754481,61.89754481
Boston Housing,0.05,21,446,11.8,84.72648781,96.52648781
Boston Housing,0.05,21,461,16.4,-135.3952235,-118.9952235
Boston Housing,0.05,21,463,19.5,-9.805023277,9.694976723
Boston Housing,0.05,22,31,12.7,73.30940724,86.00940724
Boston Housing,0.05,22,36,18.9,-51.51259981,-32.61259981
Boston Housing,0.05,22,70,20.9,-3.59939922,17.30060078
Boston Housing,0.05,22,102,26.5,-18.44678437,8.053215629
Boston Housing,0.05,22,227,37.6,32.17985109,69.77985109
Boston Housing,0.05,22,235,29,27.64444322,56.64444322
Boston Housing,0.05,22,244,23.7,-59.87720794,-36.17720794
Boston Housing,0.05,22,274,35.2,36.99146981,72.19146981
Boston Housing,0.05,22,280,35.1,-5.868023403,29.2319766
Boston Housing,0.05,22,296,28.6,50.41815894,79.01815894
Boston Housing,0.05,22,304,33.1,66.78233568,99.88233568
Boston Housing,0.05,22,389,10.2,5.176988604,15.3769886
Boston Housing,0.05,22,422,14.2,-8.988055199,5.211944801
Boston Housing,0.05,22,426,8.3,-29.39609389,-21.09609389
Boston Housing,0.05,22,460,20,105.4713835,125.4713835
Boston Housing,0.05,22,471,19.9,-92.40980864,-72.50980864
Boston Housing,0.05,22,499,21.2,64.85863427,86.05863427
Boston Housing,0.05,22,501,16.8,-60.9276013,-44.1276013
Boston Housing,0.05,23,21,13.6,-71.31533922,-57.71533922
Boston Housing,0.05,23,35,13.5,-29.87007153,-16.37007153
Boston Housing,0.05,23,39,24.7,75.91475353,100.6147535
Boston Housing,0.05,23,103,18.6,29.07777466,47.67777466
Boston Housing,0.05,23,117,21.2,-22.8339616,-1.633961601
Boston Housing,0.05,23,119,20.4,-16.42017196,3.979828038
Boston Housing,0.05,23,120,19.3,-72.63180759,-53.33180759
Boston Housing,0.05,23,240,23.3,1.802308606,25.10230861
Boston Housing,0.05,23,251,24.4,-4.550469767,19.84953023
Boston Housing,0.05,23,253,29.6,46.03677924,75.63677924
Boston Housing,0.05,23,281,45.4,20.61040874,66.01040874
Boston Housing,0.05,23,282,35.4,13.30981576,48.70981576
Boston Housing,0.05,23,286,22,-125.2223772,-103.2223772
Boston Housing,0.05,23,290,24.8,2.644301038,27.44430104
Boston Housing,0.05,23,294,23.9,41.26999172,65.16999172
Boston Housing,0.05,23,304,33.1,-77.67217832,-44.57217832
Boston Housing,0.05,23,361,25,-33.1019079,-8.101907895
Boston Housing,0.05,23,409,17.2,42.21562903,59.41562903
Boston Housing,0.05,24,5,36.2,-24.40033555,11.79966445
Boston Housing,0.05,24,21,13.6,95.53619667,109.1361967
Boston Housing,0.05,24,26,13.9,35.56671601,49.46671601
Boston Housing,0.05,24,37,20,45.22338318,65.22338318
Boston Housing,0.05,24,64,25,-43.83272437,-18.83272437
Boston Housing,0.05,24,100,33.2,-11.70259232,21.49740768
Boston Housing,0.05,24,221,26.7,33.92447689,60.62447689
Boston Housing,0.05,24,227,37.6,143.5557973,181.1557973
Boston Housing,0.05,24,235,29,-85.95916178,-56.95916178
Boston Housing,0.05,24,242,20.1,62.76900875,82.86900875
Boston Housing,0.05,24,249,24.5,-5.57174527,18.92825473
Boston Housing,0.05,24,367,21.9,125.2082718,147.1082718
Boston Housing,0.05,24,383,11.3,-42.5939658,-31.2939658
Boston Housing,0.05,24,429,11,21.36707908,32.36707908
Boston Housing,0.05,24,458,13.5,45.8996022,59.3996022
Boston Housing,0.05,24,461,16.4,159.1966191,175.5966191
Boston Housing,0.05,24,488,20.6,-52.14116892,-31.54116892
Boston Housing,0.05,24,502,22.4,-12.76981593,9.630184067
Boston Housing,0.05,25,1,24,44.52685986,68.52685986
Boston Housing,0.05,25,47,20,-48.54549434,-28.54549434
Boston Housing,0.05,25,60,19.6,-83.42911522,-63.82911522
Boston Housing,0.05,25,70,20.9,-73.77007363,-52.87007363
Boston Housing,0.05,25,73,22.8,208.9907312,231.7907312
Boston Housing,0.05,25,175,22.6,74.46355322,97.06355322
Boston Housing,0.05,25,177,23.2,67.85972398,91.05972398
