RecordID,Observation,X1,X2,X3,Y,CaseGroup,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass,KnownOutlier
54,54,1.100000,3.000000,0.300000,0.700000,Cases 15-75 (regular),1.935861,3.057516,False,-0.252357,0.952357,1.164924,3.500000,False,Regular,False
55,55,0.500000,2.400000,0.900000,0.000000,Cases 15-75 (regular),1.368167,3.057516,False,-0.271212,0.271212,0.331747,3.500000,False,Regular,False
56,56,1.800000,3.200000,0.900000,0.100000,Cases 15-75 (regular),1.681944,3.057516,False,-0.028698,0.128698,0.157424,3.500000,False,Regular,False
57,57,1.800000,0.700000,0.700000,0.700000,Cases 15-75 (regular),1.355005,3.057516,False,-0.458528,1.158528,1.417113,3.500000,False,Regular,False
58,58,2.400000,3.400000,1.500000,-0.100000,Cases 15-75 (regular),1.774783,3.057516,False,0.185829,-0.285829,0.349626,3.500000,False,Regular,False
59,59,1.600000,2.100000,3.000000,-0.300000,Cases 15-75 (regular),1.332668,3.057516,False,0.233562,-0.533562,0.652653,3.500000,False,Regular,False
60,60,0.300000,1.500000,3.300000,-0.900000,Cases 15-75 (regular),2.240981,3.057516,False,0.086395,-0.986395,1.206559,3.500000,False,Regular,False
61,61,0.400000,3.400000,3.000000,-0.300000,Cases 15-75 (regular),2.267024,3.057516,False,0.325176,-0.625176,0.764716,3.500000,False,Regular,False
62,62,0.900000,0.100000,0.300000,0.600000,Cases 15-75 (regular),1.994240,3.057516,False,-0.719424,1.319424,1.613921,3.500000,False,Regular,False
63,63,1.100000,2.700000,0.200000,-0.300000,Cases 15-75 (regular),1.829123,3.057516,False,-0.320250,0.020250,0.024769,3.500000,False,Regular,False
64,64,2.800000,3.000000,2.900000,-0.500000,Cases 15-75 (regular),1.850652,3.057516,False,0.460955,-0.960955,1.175442,3.500000,False,Regular,False
65,65,2.000000,0.700000,2.700000,0.600000,Cases 15-75 (regular),1.625613,3.057516,False,-0.010972,0.610972,0.747342,3.500000,False,Regular,False
66,66,0.200000,1.800000,0.800000,-0.900000,Cases 15-75 (regular),1.462431,3.057516,False,-0.412926,-0.487074,0.595789,3.500000,False,Regular,False
67,67,1.600000,2.000000,1.200000,-0.700000,Cases 15-75 (regular),0.536473,3.057516,False,-0.168279,-0.531721,0.650402,3.500000,False,Regular,False
68,68,0.100000,0.000000,1.100000,0.600000,Cases 15-75 (regular),2.177740,3.057516,False,-0.636232,1.236232,1.512160,3.500000,False,Regular,False
69,69,2.000000,0.600000,0.300000,0.200000,Cases 15-75 (regular),1.742573,3.057516,False,-0.541601,0.741601,0.907127,3.500000,False,Regular,False
70,70,1.000000,2.200000,2.900000,0.700000,Cases 15-75 (regular),1.426270,3.057516,False,0.172786,0.527214,0.644889,3.500000,False,Regular,False
71,71,2.200000,2.500000,2.300000,0.200000,Cases 15-75 (regular),0.996362,3.057516,False,0.200000,0.000000,0.000000,3.500000,False,Regular,False
72,72,0.600000,2.000000,1.500000,-0.200000,Cases 15-75 (regular),0.935867,3.057516,False,-0.195196,-0.004804,0.005876,3.500000,False,Regular,False
73,73,0.300000,1.700000,2.200000,0.400000,Cases 15-75 (regular),1.404802,3.057516,False,-0.118765,0.518765,0.634554,3.500000,False,Regular,False
74,74,0.000000,2.200000,1.600000,-0.900000,Cases 15-75 (regular),1.538240,3.057516,False,-0.197567,-0.702433,0.859217,3.500000,False,Regular,False
75,75,0.300000,0.400000,2.600000,0.200000,Cases 15-75 (regular),2.220922,3.057516,False,-0.234095,0.434095,0.530985,3.500000,False,Regular,False
