RecordID,ID,X1,X2,X3,y,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass
25,25,6.420000,4.010000,-2.280000,12.280000,2.121904,3.057516,False,5.958106,6.321894,1.941051,3.500000,False,Regular
26,26,6.670000,3.290000,-0.160000,14.230000,0.864852,3.057516,False,18.683201,-4.453201,1.367295,3.500000,False,Regular
27,27,6.920000,3.810000,0.500000,24.790000,1.005873,3.057516,False,21.176287,3.613713,1.109542,3.500000,False,Regular
28,28,7.160000,5.500000,-1.170000,11.560000,1.928130,3.057516,False,9.550410,2.009590,0.617017,3.500000,False,Regular
29,29,7.410000,3.450000,-2.190000,17.890000,1.668031,3.057516,False,11.361676,6.528324,2.004433,3.500000,False,Regular
30,30,7.660000,4.830000,0.930000,18.640000,1.112704,3.057516,False,22.910099,-4.270099,1.311076,3.500000,False,Regular
31,31,7.910000,3.240000,-1.280000,19.790000,1.372666,3.057516,False,17.909829,1.880171,0.577281,3.500000,False,Regular
32,32,8.150000,7.240000,0.660000,15.930000,2.232377,3.057516,False,16.664173,-0.734173,0.225418,3.500000,False,Regular
33,33,8.400000,6.380000,2.050000,21.330000,2.026176,3.057516,False,26.382405,-5.052405,1.551272,3.500000,False,Regular
34,34,8.650000,4.040000,1.040000,26.090000,1.986986,3.057516,False,29.044986,-2.954986,0.907288,3.500000,False,Regular
35,35,8.890000,5.160000,0.080000,21.900000,0.466367,3.057516,False,22.303331,-0.403331,0.123837,3.500000,False,Regular
36,36,9.140000,6.780000,0.050000,18.570000,1.235398,3.057516,False,18.534371,0.035629,0.010939,3.500000,False,Regular
37,37,9.390000,6.700000,1.290000,24.370000,1.389647,3.057516,False,25.390275,-1.020275,0.313262,3.500000,False,Regular
38,38,9.630000,5.120000,-0.910000,20.080000,0.676110,3.057516,False,20.374110,-0.294110,0.090303,3.500000,False,Regular
39,39,9.880000,6.120000,-1.700000,14.440000,1.404812,3.057516,False,14.790840,-0.350840,0.107721,3.500000,False,Regular
40,40,10.130000,5.520000,-1.580000,18.560000,1.092509,3.057516,False,17.880475,0.679525,0.208639,3.500000,False,Regular
41,41,10.370000,4.810000,1.160000,34.200000,2.365881,3.057516,False,33.426919,0.773081,0.237364,3.500000,False,Regular
42,42,10.620000,6.390000,-0.060000,27.720000,0.235836,3.057516,False,24.234016,3.485984,1.070324,3.500000,False,Regular
43,43,10.870000,7.520000,-1.590000,20.310000,1.828387,3.057516,False,14.848070,5.461930,1.677011,3.500000,False,Regular
44,44,11.110000,7.450000,0.390000,26.150000,0.721314,3.057516,False,25.083468,1.066532,0.327464,3.500000,False,Regular
45,45,11.360000,6.920000,1.930000,27.180000,2.050776,3.057516,False,34.583571,-7.403571,2.273166,3.500000,False,Regular
46,46,11.610000,7.110000,1.820000,31.450000,1.943184,3.057516,False,34.411030,-2.961030,0.909144,3.500000,False,Regular
47,47,11.850000,8.470000,-0.290000,23.870000,1.276910,3.057516,False,21.654429,2.215571,0.680261,3.500000,False,Regular
48,48,12.100000,6.290000,-0.040000,27.060000,1.274851,3.057516,False,29.733516,-2.673516,0.820867,3.500000,False,Regular
49,49,12.350000,7.720000,0.360000,31.970000,0.662026,3.057516,False,28.491866,3.478134,1.067914,3.500000,False,Regular
50,50,12.590000,5.680000,-2.330000,28.380000,2.159028,3.057516,False,22.473189,5.906811,1.813606,3.500000,False,Regular
51,51,12.840000,8.690000,0.850000,27.820000,1.104961,3.057516,False,29.777133,-1.957133,0.600911,3.500000,False,Regular
52,52,13.090000,10.040000,2.040000,30.890000,2.260668,3.057516,False,32.431960,-1.541960,0.473438,3.500000,False,Regular
53,53,13.340000,9.960000,0.850000,29.070000,1.693827,3.057516,False,27.985403,1.084597,0.333011,3.500000,False,Regular
54,54,13.580000,7.140000,-1.290000,28.260000,1.340129,3.057516,False,26.689541,1.570459,0.482188,3.500000,False,Regular
55,55,13.830000,8.670000,0.070000,27.570000,0.710053,3.057516,False,29.635542,-2.065542,0.634197,3.500000,False,Regular
56,56,14.080000,10.600000,-2.030000,23.900000,3.077572,3.057516,True,15.378253,8.521747,2.616486,3.500000,False,Leverage only
57,57,14.320000,9.100000,2.120000,35.960000,2.241203,3.057516,False,39.675311,-3.715311,1.140736,3.500000,False,Regular
58,58,14.570000,9.840000,0.490000,28.630000,1.126856,3.057516,False,30.906565,-2.276565,0.698988,3.500000,False,Regular
59,59,14.820000,10.720000,-1.400000,22.710000,2.355707,3.057516,False,20.539976,2.170024,0.666276,3.500000,False,Regular
60,60,15.060000,9.420000,-1.690000,29.680000,1.612589,3.057516,False,23.630587,6.049413,1.857390,3.500000,False,Regular
61,61,15.310000,8.120000,-0.100000,37.100000,1.731757,3.057516,False,35.500144,1.599856,0.491214,3.500000,False,Regular
62,62,15.560000,9.200000,-1.350000,29.630000,1.324719,3.057516,False,27.555298,2.074702,0.637009,3.500000,False,Regular
63,63,15.800000,8.350000,-1.400000,33.340000,1.727451,3.057516,False,30.513368,2.826632,0.867879,3.500000,False,Regular
64,64,16.050000,9.110000,-0.510000,30.570000,1.329973,3.057516,False,33.410189,-2.840189,0.872041,3.500000,False,Regular
65,65,16.300000,11.310000,-0.500000,32.340000,1.668017,3.057516,False,28.217670,4.122330,1.265705,3.500000,False,Regular
66,66,16.540000,10.730000,0.950000,31.290000,1.517070,3.057516,False,37.403267,-6.113267,1.876996,3.500000,False,Regular
67,67,16.790000,10.530000,0.390000,36.220000,1.312264,3.057516,False,36.220000,0.000000,0.000000,3.500000,False,Regular
68,68,17.040000,12.430000,0.820000,33.970000,2.030526,3.057516,False,33.813549,0.156451,0.048036,3.500000,False,Regular
69,69,17.280000,10.640000,-1.100000,31.760000,1.458625,3.057516,False,30.682514,1.077486,0.330827,3.500000,False,Regular
70,70,17.530000,9.180000,-0.830000,39.290000,2.098799,3.057516,False,36.856492,2.433508,0.747175,3.500000,False,Regular
71,71,17.780000,12.030000,-0.830000,29.080000,1.825413,3.057516,False,29.813591,-0.733591,0.225239,3.500000,False,Regular
72,72,18.030000,9.690000,0.070000,41.360000,2.252842,3.057516,False,41.360000,-0.000000,0.000000,3.500000,False,Regular
73,73,18.270000,11.940000,-1.370000,32.540000,1.952811,3.057516,False,29.249800,3.290200,1.010211,3.500000,False,Regular
74,74,18.520000,11.960000,-0.100000,35.590000,1.514003,3.057516,False,35.967722,-0.377722,0.115974,3.500000,False,Regular
75,75,18.770000,12.620000,0.530000,40.050000,1.739739,3.057516,False,37.932745,2.117255,0.650074,3.500000,False,Regular
76,76,19.010000,9.020000,-1.950000,38.340000,3.092776,3.057516,True,37.220114,1.119886,0.343846,3.500000,False,Leverage only
77,77,19.260000,9.850000,-1.800000,34.190000,2.645214,3.057516,False,36.480770,-2.290770,0.703350,3.500000,False,Regular
78,78,19.510000,11.260000,-0.590000,39.180000,1.900098,3.057516,False,39.062111,0.117889,0.036196,3.500000,False,Regular
79,79,19.750000,12.790000,1.470000,43.250000,2.248131,3.057516,False,45.229309,-1.979309,0.607720,3.500000,False,Regular
80,80,20.000000,11.290000,-2.060000,37.790000,2.384761,3.057516,False,33.839664,3.950336,1.212897,3.500000,False,Regular
81,81,16.000000,-8.000000,10.000000,124.400000,23.769293,3.057516,True,129.604649,-5.204649,1.598016,3.500000,False,Leverage only
82,82,16.800000,-9.500000,11.500000,139.490000,26.681280,3.057516,True,143.516664,-4.026664,1.236332,3.500000,False,Leverage only
83,83,17.500000,-11.000000,13.000000,154.300000,29.533039,3.057516,True,157.082129,-2.782129,0.854215,3.500000,False,Leverage only
84,84,18.200000,-12.000000,14.500000,169.260000,31.923269,3.057516,True,169.260000,0.000000,0.000000,3.500000,False,Leverage only
85,85,19.000000,-13.500000,16.000000,185.350000,34.839508,3.057516,True,183.172015,2.177985,0.668720,3.500000,False,Leverage only
86,86,17.000000,16.000000,-12.000000,-38.000000,14.139051,3.057516,True,-35.861107,-2.138893,0.656718,3.500000,False,Leverage only
87,87,18.000000,17.500000,-13.500000,-50.050000,16.061846,3.057516,True,-43.535202,-6.514798,2.000280,3.500000,False,Leverage only
88,88,19.000000,19.000000,-15.000000,-62.100000,17.985224,3.057516,True,-51.209298,-10.890702,3.343842,3.500000,False,Leverage only
89,89,19.500000,20.500000,-16.500000,-76.550000,20.140884,3.057516,True,-60.616148,-15.933852,4.892272,3.500000,True,Leverage + response
90,90,20.000000,22.000000,-18.000000,-93.000000,22.300852,3.057516,True,-70.022999,-22.977001,7.054775,3.500000,True,Leverage + response
